material,Maxsorb
material_batch,Test
temperature,77.347
adsorbate,H2
date,12/09/2022 00:00
t_act,200
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,TRUE
pressure_unit,atm
pressure_mode,relative
loading_basis,molar
loading_unit,cm3(STP)
adsorbent_basis,mass
adsorbent_unit,g
data,
pressure,loading
9.66E-06,2.08E-02
1.10E-05,2.35E-02
1.78E-05,3.77E-02
2.75E-05,5.78E-02
3.94E-05,8.25E-02
5.34E-05,1.12E-01
6.91E-05,1.44E-01
8.66E-05,1.80E-01
0.000106,2.21E-01
0.000127,2.64E-01
0.000149,3.10E-01
0.000173,3.60E-01
0.000198,4.12E-01
0.000225,4.68E-01
0.000253,5.26E-01
0.000283,5.88E-01
0.000313,6.50E-01
0.000345,7.17E-01
0.000379,7.87E-01
0.000414,8.60E-01
0.00045,9.35E-01
0.000488,1.01E+00
0.000527,1.09E+00
0.000566,1.175636714
0.000658,1.366615201
0.00075,1.557593688
0.000851,1.767254244
0.00096,1.993512367
0.00108,2.242610356
0.00121,2.512474916
0.00135,2.80309484
0.0015,3.114470128
0.00167,3.467356144
0.00186,3.861764095
0.00207,4.297693981
0.0023,4.775134595
0.00256,5.314852508
0.00285,5.916836513
0.00318,6.601864388
0.00355,7.369924926
0.00397,8.241773491
0.00446,9.258932018
0.00501,10.38747692
0.00565,11.29484047
0.00638,12.32979571
0.00722,13.52070756
0.00821,14.92428345
0.00934,16.52633531
0.0106,18.00544638
0.0109,18.28445585
0.0121,19.40050494
0.0148,21.9116126
0.0168,23.74696058
0.019,25.76439989
0.0243,30.34321026
0.0301,34.36286978
0.0338,36.85881437
0.039,40.40532556
0.0446,44.20524942
0.05,47.29506415
0.0604,52.25014955
0.0701,56.84824716
0.0802,60.7113561
0.0902,64.2405973
0.1,67.70075855
0.119,74.48584618
0.141,81.74317437
0.162,87.53545629
0.182,92.41704618
0.202,97.57204204
0.222,102.6577338
0.243,107.2249561
0.263,111.2513511
0.283,115.2371991
0.303,119.5286171
0.323,122.9242261
0.343,126.2990572
0.361,129.2941504
0.38,132.4089903
0.4,135.6676385
0.42,138.4906146
0.44,141.2698945
0.46,144.1779317
0.48,147.2517765
0.5,150.3130246
0.52,153.1945572
0.54,156.063482
0.56,158.2370124
0.58,159.8705335
0.6,161.5040546
0.62,164.1399074
0.64,167.0088433
0.66,169.5588729
0.68,171.5755726
0.7,173.5922834
0.72,175.6089943
0.739,177.5248645
0.76,179.6561221
0.78,181.7053557
0.801,183.8338004
0.82,185.3499954
0.841,187.0175634
0.861,188.8448087
0.882,190.9965079
0.901,192.8895607
0.921,194.2791951
0.94,195.5993572
0.958,196.678625
0.972,197.3627563
0.981,197.8025526
0.995,198.4866839
