material,Carbosieve
material_batch,Test
temperature,77
adsorbate,H2
date,12/09/2022 00:00
t_act,200
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,TRUE
pressure_unit,kPa
pressure_mode,relative
loading_basis,molar
loading_unit,cm3(STP)
adsorbent_basis,mass
adsorbent_unit,g
data,
pressure,loading
9.66E-06,0.000818124
1.10E-05,0.000926003
1.78E-05,0.001473445
2.75E-05,0.002254354
3.94E-05,0.003212378
5.34E-05,0.004339465
6.91E-05,0.005603411
8.66E-05,0.00701227
0.000106,0.00857409
0.000127,0.01026472
0.000149,0.012035855
0.000173,0.013968004
0.000198,0.015980659
0.000225,0.018154325
0.000253,0.020408498
0.000283,0.022823683
0.000313,0.025238869
0.000345,0.027815067
0.000379,0.030552277
0.000414,0.033369993
0.00045,0.036268216
0.000488,0.039327451
0.000527,0.042467192
0.000566,0.045606932
0.000658,0.053013501
0.00075,0.060420069
0.000851,0.068551194
0.00096,0.077326367
0.00108,0.086987109
0.00121,0.097452912
0.00135,0.108723777
0.0015,0.120799704
0.00167,0.134485754
0.00186,0.149781928
0.00207,0.166688226
0.0023,0.185204647
0.00256,0.206136254
0.00285,0.229483046
0.00318,0.256050086
0.00355,0.285837371
0.00397,0.319649967
0.00446,0.359097994
0.00501,0.40255952
0.00565,0.431022196
0.00638,0.463487435
0.00722,0.500844698
0.00821,0.544872899
0.00934,0.59512731
0.0106,0.634576458
0.0109,0.640082079
0.0121,0.662104565
0.0148,0.711655157
0.0168,0.748359306
0.019,0.78873387
0.0243,0.863095713
0.0301,0.919479474
0.0338,0.954001789
0.039,1.002519645
0.0446,1.054769647
0.05,1.093730387
0.0604,1.148786886
0.0701,1.200137665
0.0802,1.249225412
0.0902,1.292899751
0.1,1.335525314
0.119,1.409303794
0.141,1.471370873
0.162,1.528367111
0.182,1.578019515
0.202,1.617723457
0.222,1.657427401
0.243,1.693829841
0.263,1.724624786
0.283,1.757614787
0.303,1.78892293
0.323,1.809475633
0.343,1.830028336
0.361,1.851499177
0.38,1.87647159
0.4,1.900795098
0.42,1.916676675
0.44,1.932558253
0.46,1.950706898
0.48,1.969957295
0.5,1.988690347
0.52,2.002683159
0.54,2.016579539
0.56,2.029358466
0.58,2.041269649
0.6,2.053214333
0.62,2.065494371
0.64,2.077789786
0.66,2.08942335
0.68,2.100633876
0.7,2.111903592
0.72,2.125991937
0.739,2.139619354
0.76,2.15365662
0.78,2.165952035
0.801,2.178085639
0.82,2.183804311
0.841,2.190057681
0.861,2.197514907
0.882,2.20640859
0.901,2.215750379
0.921,2.229646758
0.94,2.24284832
0.958,2.248692969
0.972,2.250281127
0.981,2.251302085
0.995,2.252890243
