material,NGCB
material_batch,Test
temperature,77.400
adsorbate,N2
date,21/05/2010 00:00
t_act,200.0
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,true
pressure_unit,kPa
pressure_mode,relative
loading_basis,molar
loading_unit,cm3(STP)
adsorbent_basis,mass
adsorbent_unit,g
data
pressure,loading
0.00000005, 0.015312
0.00000007, 0.023664
0.0000001, 0.0348
0.00000015, 0.045936
0.0000002, 0.052896
0.00000025, 0.05916
0.0000003, 0.064728
0.0000004, 0.077256
0.0000005, 0.087696
0.000001, 0.128064
0.0000013, 0.14616
0.000002, 0.178176
0.000003, 0.215064
0.000004, 0.249864
0.000005, 0.279792
0.000006, 0.30972
0.000008, 0.350088
0.00001, 0.38976
0.000013, 0.430128
0.00002, 0.510168
0.00003, 0.599952
0.00004, 0.679992
0.00006, 0.8004
0.00008, 0.89784
0.0001, 1.00224
0.00013, 1.12056
0.0002, 1.3224
0.0003, 1.55208
0.0004, 1.74
0.0005, 1.8792
0.0006, 1.96968
0.0008, 2.15064
0.001, 2.2968
0.0013, 2.44992
0.002, 2.65872
0.003, 2.84664
0.005, 3.06936
0.006, 3.15288
0.008, 3.27816
0.01, 3.36864
0.013, 3.47304
0.02, 3.63312
0.03, 3.80016
0.04, 3.95328
0.05, 4.05072
0.06, 4.14816
0.08, 4.32216
0.1, 4.48224
0.12, 4.64928
0.14, 4.78152
0.16, 4.94856
0.18, 5.10168
0.2, 5.24784
0.22, 5.4288
0.24, 5.58192
0.26, 5.742
0.28, 5.90208
0.3, 6.08304
0.32, 6.25704
0.34, 6.41712
0.36, 6.59808
0.38, 6.77904
0.4, 6.96
0.42, 7.0992
0.44, 7.308
0.46, 7.4472
0.48, 7.656
0.5, 7.7952
0.52, 8.004
0.54, 8.2128
0.56, 8.4216
0.58, 8.6304
0.6, 8.8392
0.62, 9.048
0.64, 9.3264
0.66, 9.4656
0.68, 9.744
0.7, 10.092
0.72, 10.3704
0.74, 10.7184
0.76, 11.0664
0.78, 11.484
0.8, 11.9016
0.82, 12.3888
0.84, 13.0152
0.85, 13.2936
0.86, 13.7112
0.87, 14.1984
0.88, 14.6856
0.9, 15.7992
