material,CarbopackF
material_batch,Test
temperature,77.000
adsorbate,Ar
date,21/05/2010 00:00
t_act,200.0
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,true
pressure_unit,kPa
pressure_mode,relative
loading_basis,molar
loading_unit,cm3(STP)
adsorbent_basis,mass
adsorbent_unit,g
data
pressure,loading
0.0000585, 0.01929184
0.000116, 0.0387106
0.00017, 0.0583832
0.000219, 0.0777385
0.000263, 0.0974111
0.000304, 0.1167664
0.000341, 0.136439
0.000375, 0.1561116
0.000423, 0.187207
0.000466, 0.2183024
0.000504, 0.2497151
0.000539, 0.2808105
0.00057, 0.3122232
0.000598, 0.342684
0.00063, 0.374414
0.000654, 0.406144
0.000677, 0.437874
0.000698, 0.469604
0.000719, 0.501334
0.000739, 0.533064
0.000758, 0.561621
0.000777, 0.593351
0.000796, 0.625081
0.000814, 0.656811
0.000833, 0.688541
0.000852, 0.720271
0.000872, 0.752001
0.000892, 0.783731
0.000912, 0.815461
0.000934, 0.847191
0.000956, 0.875748
0.000981, 0.907478
0.00101, 0.939208
0.00104, 0.970938
0.00107, 1.002668
0.0011, 1.034398
0.00114, 1.066128
0.00118, 1.094685
0.00123, 1.126415
0.00129, 1.158145
0.00135, 1.189875
0.00142, 1.218432
0.00151, 1.250162
0.00162, 1.281892
0.00175, 1.310449
0.00191, 1.342179
0.00211, 1.370736
0.00237, 1.399293
0.00269, 1.42785
0.00311, 1.456407
0.00365, 1.481791
0.00432, 1.507175
0.00516, 1.529386
0.00619, 1.551597
0.00757, 1.573808
0.00922, 1.596019
0.0111, 1.611884
0.0123, 1.621403
0.0126, 1.624576
0.0151, 1.640441
0.0178, 1.656306
0.0202, 1.668998
0.0215, 1.675344
0.0228, 1.68169
0.0241, 1.688036
0.0247, 1.691209
0.0254, 1.694382
0.0259, 1.697555
0.0276, 1.703901
0.0283, 1.707074
0.0301, 1.716593
0.0309, 1.719766
0.0328, 1.732458
0.0336, 1.735631
0.0354, 1.74515
0.0361, 1.748323
0.0377, 1.757842
0.0384, 1.764188
0.0403, 1.773707
0.0428, 1.786399
0.0454, 1.799091
0.0503, 1.814956
0.0601, 1.837167
0.0708, 1.856205
0.0809, 1.868897
0.091, 1.884762
0.101, 1.897454
0.111, 1.910146
0.121, 1.919665
0.131, 1.932357
0.141, 1.945049
0.151, 1.957741
0.161, 1.970433
0.171, 1.983125
0.181, 1.995817
0.191, 2.011682
0.201, 2.027547
0.211, 2.043412
0.221, 2.059277
0.231, 2.078315
0.241, 2.097353
0.251, 2.116391
0.26, 2.138602
0.27, 2.163986
0.28, 2.18937
0.289, 2.2211
0.299, 2.256003
0.308, 2.297252
0.318, 2.341674
0.327, 2.395615
0.336, 2.462248
0.349, 2.576476
0.36, 2.703396
0.371, 2.839835
0.381, 2.969928
0.39, 3.07781
0.4, 3.173
0.41, 3.26819
0.42, 3.33165
0.43, 3.39511
0.44, 3.45857
0.45, 3.4903
0.46, 3.55376
0.47, 3.58549
0.48, 3.61722
0.49, 3.64895
0.5, 3.71241
0.51, 3.74414
0.52, 3.77587
0.53, 3.8076
0.54, 3.83933
0.55, 3.87106
0.56, 3.93452
0.57, 3.96625
0.579, 3.99798
0.59, 4.06144
0.599, 4.1249
0.61, 4.18836
0.62, 4.25182
0.63, 4.31528
0.64, 4.41047
0.65, 4.50566
0.66, 4.56912
0.67, 4.66431
0.68, 4.7595
0.69, 4.85469
0.7, 4.91815
0.71, 5.01334
0.72, 5.0768
0.728, 5.14026
0.741, 5.20372
0.75, 5.29891
0.76, 5.36237
0.77, 5.42583
0.78, 5.48929
0.79, 5.55275
0.8, 5.61621
0.81, 5.67967
0.819, 5.77486
0.829, 5.87005
0.839, 5.96524
0.848, 6.09216
0.854, 6.21908
0.859, 6.40946
0.865, 6.69503
0.872, 6.91714
0.9, 7.42482
0.93, 7.99596
0.937, 8.21807
0.947, 8.63056
0.956, 9.29689
0.97, 10.18533
0.978, 10.75647
0.985, 11.64491
0.991, 12.50162
