material,Norit
material_batch,Test
temperature,77.347
adsorbate,H2
date,12/09/2022 00:00
t_act,200
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,TRUE
pressure_unit,atm
pressure_mode,relative
loading_basis,molar
loading_unit,cm3(STP)
adsorbent_basis,mass
adsorbent_unit,g
data,
pressure,loading
9.66E-06,4.31E-02
1.10E-05,4.90E-02
1.78E-05,7.84E-02
2.75E-05,1.20E-01
3.94E-05,1.72E-01
5.34E-05,2.33E-01
6.91E-05,3.01E-01
8.66E-05,3.77E-01
0.000106,4.61E-01
0.000127,5.52E-01
0.000149,6.47E-01
0.000173,0.750936242
0.000198,8.59E-01
0.000225,9.76E-01
0.000253,1.10E+00
0.000283,1.227592366
0.000313,1.357582359
0.000345,1.49624657
0.000379,1.643573792
0.000414,1.795238123
0.00045,1.951239563
0.000488,2.115904014
0.000527,2.284894367
0.000566,2.45388472
0.000658,2.852551331
0.00075,3.251206735
0.000851,3.688851292
0.00096,4.161181514
0.00108,4.6811639
0.00121,5.244483755
0.00135,5.851129872
0.0015,6.501113458
0.00167,7.237760775
0.00186,8.061071823
0.00207,8.971046602
0.0023,9.967685112
0.00256,11.09432482
0.00285,12.35095453
0.00318,13.78091169
0.00355,15.38420752
0.00397,17.20415708
0.00446,19.3274353
0.00501,21.71070472
0.00565,23.94573914
0.00638,26.47527111
0.00722,29.38596436
0.00821,32.81642706
0.00934,36.73200717
0.0106,40.06131548
0.0109,40.47879865
0.0121,42.14875372
0.0148,45.90613581
0.0168,48.15517899
0.019,50.52541466
0.0243,55.71551084
0.0301,59.79211313
0.0338,62.29200258
0.039,65.80195654
0.0446,69.57109478
0.05,73.20329468
0.0604,77.31906543
0.0701,81.07407165
0.0802,84.98392498
0.0902,88.85505812
0.1,92.64877332
0.119,97.99807614
0.141,104.1124809
0.162,109.0284986
0.182,112.9220458
0.202,116.7918789
0.222,120.4805061
0.243,124.3535556
0.263,127.3796137
0.283,130.1588937
0.303,132.8536393
0.323,135.2358776
0.343,137.618116
0.361,139.5632702
0.38,141.5100381
0.4,143.536443
0.42,145.4077991
0.44,147.2762189
0.46,149.1089109
0.48,150.8955868
0.5,152.670092
0.52,153.9933697
0.54,155.2638961
0.56,156.713219
0.58,158.3013742
0.6,159.837809
0.62,160.792892
0.64,161.7271075
0.66,162.7718353
0.68,164.0013776
0.7,165.236333
0.72,166.6104793
0.739,167.9306415
0.76,169.0632433
0.78,169.6780145
0.801,170.3807831
0.82,171.6702381
0.841,173.1293559
0.861,174.3297152
0.882,175.4055648
0.901,176.3563667
0.921,177.1037391
0.94,177.8137362
0.958,178.566869
0.972,179.3079991
0.981,179.7844535
0.995,180.5255948
