material,Carbosieve
material_batch,Test
temperature,87.30
adsorbate,H2
date,12/09/2022 00:00
t_act,200
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,TRUE
pressure_unit,atm
pressure_mode,relative
loading_basis,molar
loading_unit,cm3(STP)
adsorbent_basis,mass
adsorbent_unit,g
data,
pressure,loading
1.86381E-06,40.08016032
3.65366E-06,54.10821643
7.40749E-06,70.14028056
1.50181E-05,92.18436874
3.09646E-05,120.240481
6.17304E-05,144.2885772
0.000125153,168.3366733
0.00024534,196.3927856
0.000497406,216.4328657
0.000770413,232.4649299
0.001234105,240.4809619
0.001588453,248.496994
0.002419237,256.5130261
0.003941079,268.5370741
0.005072681,274.5490982
0.010458958,288.5771543
0.016199463,296.5931864
0.023142509,300.6012024
0.050869274,312.6252505
0.074299635,316.6332665
0.124238733,320.6412826
0.175395859,324.6492986
0.224116931,326.6533066
0.275274056,328.6573146
0.325213155,330.6613226
0.37637028,332.6653307
0.425091352,334.6693387
0.476248477,336.6733467
0.526187576,336.6733467
0.573690621,338.6773547
0.62362972,338.6773547
0.674786845,340.6813627
0.725943971,342.6853707
0.774665043,344.6893788
0.823386114,348.6973948
0.875761267,348.6973948
0.924482339,348.6973948
