material,GCB-I
material_batch,Test
temperature,77.400
adsorbate,N2
date,21/05/2010 00:00
t_act,200.0
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,true
pressure_unit,kPa
pressure_mode,relative
loading_basis,molar
loading_unit,cm3(STP)
adsorbent_basis,mass
adsorbent_unit,g
data
pressure,loading
0.0000004, 0.044946
0.0000006, 0.061971
0.000001, 0.08399
0.0000015, 0.10896
0.000002, 0.13166
0.0000025, 0.15209
0.000003, 0.17252
0.0000035, 0.19295
0.000004, 0.21111
0.000005, 0.24516
0.000006, 0.27921
0.000007, 0.30872
0.000008, 0.33596
0.000009, 0.3632
0.00001, 0.39044
0.000015, 0.51983
0.00002, 0.64014
0.00003, 0.88076
0.00004, 1.0896
0.00005, 1.30071
0.00006, 1.5209
0.00007, 1.72974
0.00008, 1.94993
0.00009, 2.19055
0.0001, 2.4062
0.00012, 2.8602
0.00015, 3.5412
0.0002, 4.6081
0.00025, 5.4934
0.0003, 6.1971
0.00035, 6.81
0.0004, 7.3094
0.0005, 7.9904
0.0006, 8.4898
0.0007, 8.853
0.0008, 9.1481
0.001, 9.5113
0.0015, 10.0334
0.002, 10.3512
0.003, 10.8052
0.004, 11.0322
0.005, 11.1911
0.007, 11.4635
0.008, 11.5543
0.01, 11.7132
0.02, 12.258
0.025, 12.4169
0.03, 12.5304
0.04, 12.7574
0.05, 12.939
0.07, 13.2568
0.08, 13.4157
0.1, 13.7108
0.15, 14.5961
0.2, 15.7084
0.25, 17.2066
0.3, 18.9999
0.35, 20.9067
0.4, 22.7
0.45, 24.1074
0.5, 25.4921
0.55, 26.8995
0.6, 28.5112
0.65, 30.3953
0.7, 32.8923
0.75, 35.7979
0.8, 39.7931
0.82, 41.7907
0.85, 45.3092
