material,Maxsorb
material_batch,Test
temperature,87.30
adsorbate,H2
date,12/09/2022 00:00
t_act,200
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,TRUE
pressure_unit,atm
pressure_mode,relative
loading_basis,molar
loading_unit,cm3(STP)
adsorbent_basis,mass
adsorbent_unit,g
data,
pressure,loading
1.28713E-06,0.000000000
2.43968E-06,2.004008016
3.47379E-06,6.012024048
5.20235E-06,8.016032064
7.92326E-06,12.0240481
1.2272E-05,18.03607214
1.93302E-05,22.04408818
2.94402E-05,26.05210421
6.60286E-05,42.08416834
0.000100562,54.10821643
0.000145618,66.13226453
0.000218078,78.15631263
0.000326593,56.11222445
0.000497406,116.2324649
0.000732485,138.2765531
0.00109697,166.3326653
0.001642823,192.3847695
0.002010429,206.4128257
0.002460292,218.4368737
0.003166715,236.4729459
0.003941079,254.509018
0.006420247,288.5771543
0.009614963,314.6292585
0.015929144,346.6933868
0.02679659,370.741483
0.042630938,406.8136273
0.06455542,444.8897796
0.080389769,468.9378758
0.098660171,503.006012
0.149817296,573.1462926
0.200974421,637.2745491
0.249695493,685.3707415
0.300852619,723.4468938
0.347137637,747.49499
0.401948843,759.5190381
0.450669915,765.5310621
0.499390987,775.5511022
0.551766139,777.5551102
0.600487211,785.5711423
0.649208283,791.5831663
0.700365408,793.5871743
0.74908648,797.5951904
0.797807552,801.6032064
0.848964677,807.6152305
0.901339829,815.6312625
0.947624848,821.6432866
0.979293544,827.6553106
