# Carbopack F Graphitized Carbon Black, Ar, 87 K 
# L. Gardner et al., J. Phys. Chem. B 105 (2001).
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 3.108 [cm3(STP)/g], S(BET) = 6.01 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 6.01/3.108 = slope[cm3(STP)/g] * 1.933719
# graphitized carbon black (Carbopack F) 
# P/P0, alpha-s
1.28E-04, 9.17E-03
2.49E-04, 0.0184
3.54E-04, 0.0274
4.50E-04, 0.0364
5.38E-04, 0.0456
6.20E-04, 0.0548
6.95E-04, 0.0641
7.65E-04, 0.0735
8.30E-04, 0.0829
8.91E-04, 0.0924
9.49E-04, 0.102
1.00E-03, 0.111
1.06E-03, 0.121
1.11E-03, 0.131
1.16E-03, 0.140
1.20E-03, 0.150
1.25E-03, 0.160
1.30E-03, 0.169
1.34E-03, 0.179
1.39E-03, 0.188
1.43E-03, 0.198
1.48E-03, 0.208
1.52E-03, 0.217
1.57E-03, 0.227
1.62E-03, 0.237
1.67E-03, 0.246
1.72E-03, 0.256
1.77E-03, 0.265
1.83E-03, 0.275
1.89E-03, 0.284
1.96E-03, 0.294
2.03E-03, 0.303
2.10E-03, 0.312
2.18E-03, 0.322
2.27E-03, 0.331
2.36E-03, 0.340
2.47E-03, 0.349
2.58E-03, 0.358
2.71E-03, 0.366
2.86E-03, 0.375
3.02E-03, 0.383
3.19E-03, 0.391
3.39E-03, 0.399
3.62E-03, 0.406
3.86E-03, 0.414
4.13E-03, 0.420
4.44E-03, 0.427
4.81E-03, 0.434
5.23E-03, 0.441
5.69E-03, 0.447
6.20E-03, 0.452
6.75E-03, 0.458
7.55E-03, 0.465
8.13E-03, 0.469
8.75E-03, 0.473
9.40E-03, 0.477
0.0100, 0.480
0.0113, 0.486
0.0125, 0.491
0.0150, 0.498
0.0175, 0.505
0.0202, 0.511
0.0250, 0.518
0.0301, 0.525
0.0351, 0.531
0.0401, 0.536
0.0452, 0.541
0.0501, 0.545
0.0573, 0.551
0.0695, 0.56
0.0793, 0.567
0.0890, 0.573
0.0987, 0.580
0.117, 0.591
0.137, 0.602
0.156, 0.616
0.176, 0.633
0.195, 0.649
0.215, 0.671
0.235, 0.694
0.256, 0.719
0.276, 0.746
0.297, 0.778
0.317, 0.817
0.337, 0.861
0.360, 0.914
0.381, 0.959
0.400, 1.00
0.420, 1.04
0.440, 1.07
0.460, 1.10
0.480, 1.13
0.500, 1.15
0.520, 1.18
0.540, 1.21
0.560, 1.23
0.580, 1.26
0.600, 1.30
0.620, 1.34
0.640, 1.38
0.660, 1.44
0.680, 1.50
0.700, 1.57
0.720, 1.65
0.740, 1.72
0.760, 1.78
0.780, 1.84
0.800, 1.91
0.819, 1.98
0.840, 2.07
0.860, 2.17
0.879, 2.30
0.899, 2.45
0.919, 2.63
0.940, 2.90
0.954, 3.27
0.964, 3.63
0.975, 4.22
0.984, 5.09
0.988, 5.9
