# Graphitized carbon black (GCB-I), N2, 77.4 K
# K. Nakai et al., DOI:10.1016/j.jcis.2010.08.005
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 22.7 [cm3(STP)/g], V(theta=1)=12.5 [cm3(STP)/g], S(BET) = 54.2 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 54.2/22.7 = slope[cm3(STP)/g] * 2.387665
# n/(molecules/nm2) = 0.602 * Gamma/(micro mol/m2)
# P/P0, alpha-s, Gamma(micro mol/m2)
0.00000040, 0.00198, 0.037
0.00000060, 0.00273, 0.051
0.0000010, 0.0037, 0.068
0.0000015, 0.0048, 0.090
0.0000020, 0.0058, 0.109
0.0000025, 0.0067, 0.126
0.0000030, 0.0076, 0.143
0.0000035, 0.0085, 0.158
0.0000040, 0.0093, 0.174
0.0000050, 0.0108, 0.203
0.0000060, 0.0123, 0.231
0.0000070, 0.0136, 0.254
0.0000080, 0.0148, 0.276
0.0000090, 0.0160, 0.299
0.000010, 0.0172, 0.321
0.000015, 0.0229, 0.428
0.000020, 0.0282, 0.527
0.000030, 0.0388, 0.725
0.000040, 0.0480, 0.898
0.000050, 0.0573, 1.071
0.000060, 0.0670, 1.252
0.000070, 0.0762, 1.425
0.000080, 0.0859, 1.607
0.000090, 0.0965, 1.80
0.00010, 0.106, 1.99
0.00012, 0.126, 2.35
0.00015, 0.156, 2.92
0.00020, 0.203, 3.79
0.00025, 0.242, 4.53
0.00030, 0.273, 5.11
0.00035, 0.300, 5.60
0.00040, 0.322, 6.01
0.00050, 0.352, 6.59
0.00060, 0.374, 7.00
0.00070, 0.390, 7.29
0.00080, 0.403, 7.54
0.0010, 0.419, 7.83
0.0015, 0.442, 8.27
0.0020, 0.456, 8.54
0.0030, 0.476, 8.90
0.0040, 0.486, 9.09
0.0050, 0.493, 9.23
0.0070, 0.505, 9.44
0.0080, 0.509, 9.52
0.010, 0.516, 9.66
0.020, 0.540, 10.09
0.025, 0.547, 10.23
0.030, 0.552, 10.33
0.040, 0.562, 10.50
0.050, 0.570, 10.65
0.070, 0.584, 10.93
0.080, 0.591, 11.05
0.10, 0.604, 11.30
0.15, 0.643, 12.03
0.20, 0.692, 12.94
0.25, 0.758, 14.17
0.30, 0.837, 15.65
0.35, 0.921, 17.2
0.40, 1.000, 18.7
0.45, 1.062, 19.9
0.50, 1.123, 21.0
0.55, 1.185, 22.2
0.60, 1.256, 23.5
0.65, 1.339, 25.0
0.70, 1.449, 27.1
0.75, 1.577, 29.5
0.80, 1.753, 32.8
0.82, 1.841, 34.4
0.85, 1.996, 37.3
