# Graphitized carbon black (GCB-I), N2, 77.4 K
# K. Nakai et al., DOI:10.1016/j.jcis.2010.08.005
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 22.7 [cm3(STP)/g], V(theta=1)=12.5 [cm3(STP)/g], S(BET) = 54.2 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 54.2/22.7 = slope[cm3(STP)/g] * 2.387665
# [pyGASP] BET surface area: a = 54 m2/g, The BET constant is: C = 1345, Amount for a monolayer: n = 0.00056 mol/g
#   Amount for a monolayer: n = 0.00056 / (1/1000/22.414) = 0.00056 / 4.461e-5 = 12.5532392 [cm3(STP)/g]
# n/(molecules/nm2) = 0.602 * Gamma/(micro mol/m2)
# P/P0, alpha-s, Gamma(micro mol/m2), V[cm3(STP)/g], t[nm]
0.0000004, 0.00198, 0.037, 0.044946, 0.001272871
0.0000006, 0.00273, 0.051, 0.061971, 0.001755019
0.000001, 0.0037, 0.068, 0.08399, 0.002378597
0.0000015, 0.0048, 0.09, 0.10896, 0.003085747
0.000002, 0.0058, 0.109, 0.13166, 0.003728611
0.0000025, 0.0067, 0.126, 0.15209, 0.004307189
0.000003, 0.0076, 0.143, 0.17252, 0.004885766
0.0000035, 0.0085, 0.158, 0.19295, 0.005464344
0.000004, 0.0093, 0.174, 0.21111, 0.005978635
0.000005, 0.0108, 0.203, 0.24516, 0.006942931
0.000006, 0.0123, 0.231, 0.27921, 0.007907227
0.000007, 0.0136, 0.254, 0.30872, 0.00874295
0.000008, 0.0148, 0.276, 0.33596, 0.009514387
0.000009, 0.016, 0.299, 0.3632, 0.010285824
0.00001, 0.0172, 0.321, 0.39044, 0.011057261
0.000015, 0.0229, 0.428, 0.51983, 0.014721586
0.00002, 0.0282, 0.527, 0.64014, 0.018128765
0.00003, 0.0388, 0.725, 0.88076, 0.024943123
0.00004, 0.048, 0.898, 1.0896, 0.030857472
0.00005, 0.0573, 1.071, 1.30071, 0.036836107
0.00006, 0.067, 1.252, 1.5209, 0.043071888
0.00007, 0.0762, 1.425, 1.72974, 0.048986237
0.00008, 0.0859, 1.607, 1.94993, 0.055222018
0.00009, 0.0965, 1.8, 2.19055, 0.062036376
0.0001, 0.106, 1.99, 2.4062, 0.068143584
0.00012, 0.126, 2.35, 2.8602, 0.081000864
0.00015, 0.156, 2.92, 3.5412, 0.100286784
0.0002, 0.203, 3.79, 4.6081, 0.130501392
0.00025, 0.242, 4.53, 5.4934, 0.155573088
0.0003, 0.273, 5.11, 6.1971, 0.175501872
0.00035, 0.3, 5.6, 6.81, 0.1928592
0.0004, 0.322, 6.01, 7.3094, 0.207002208
0.0005, 0.352, 6.59, 7.9904, 0.226288128
0.0006, 0.374, 7, 8.4898, 0.240431136
0.0007, 0.39, 7.29, 8.853, 0.25071696
0.0008, 0.403, 7.54, 9.1481, 0.259074192
0.001, 0.419, 7.83, 9.5113, 0.269360016
0.0015, 0.442, 8.27, 10.0334, 0.284145888
0.002, 0.456, 8.54, 10.3512, 0.293145984
0.003, 0.476, 8.9, 10.8052, 0.306003264
0.004, 0.486, 9.09, 11.0322, 0.312431904
0.005, 0.493, 9.23, 11.1911, 0.316931952
0.007, 0.505, 9.44, 11.4635, 0.32464632
0.008, 0.509, 9.52, 11.5543, 0.327217776
0.01, 0.516, 9.66, 11.7132, 0.331717824
0.02, 0.54, 10.09, 12.258, 0.34714656
0.025, 0.547, 10.23, 12.4169, 0.351646608
0.03, 0.552, 10.33, 12.5304, 0.354860928
0.04, 0.562, 10.5, 12.7574, 0.361289568
0.05, 0.57, 10.65, 12.939, 0.36643248
0.07, 0.584, 10.93, 13.2568, 0.375432576
0.08, 0.591, 11.05, 13.4157, 0.379932624
0.1, 0.604, 11.3, 13.7108, 0.388289856
0.15, 0.643, 12.03, 14.5961, 0.413361552
0.2, 0.692, 12.94, 15.7084, 0.444861888
0.25, 0.758, 14.17, 17.2066, 0.487290912
0.3, 0.837, 15.65, 18.9999, 0.538077168
0.35, 0.921, 17.2, 20.9067, 0.592077744
0.4, 1, 18.7, 22.7, 0.642864
0.45, 1.062, 19.9, 24.1074, 0.682721568
0.5, 1.123, 21, 25.4921, 0.721936272
0.55, 1.185, 22.2, 26.8995, 0.76179384
0.6, 1.256, 23.5, 28.5112, 0.807437184
0.65, 1.339, 25, 30.3953, 0.860794896
0.7, 1.449, 27.1, 32.8923, 0.931509936
0.75, 1.577, 29.5, 35.7979, 1.013796528
0.8, 1.753, 32.8, 39.7931, 1.126940592
0.82, 1.841, 34.4, 41.7907, 1.183512624
0.85, 1.996, 37.3, 45.3092, 1.283156544
