# graphite (OGB), N2, 77 K, data, t
# K. Miura et al., Adsorption (2007) 13: 139-147.: DOI 10.1007/s10450-007-9015-7
# Vm=V(theta=1) = 0.90 [cm3/g], C-value = 2242, S = 3.94 [m2/g]
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 1.723016 [cm3/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 3.94/1.723016 = slope[cm3(STP)/g] * 2.286688
# [pyGASP] BET surface area: a = 4 m2/g, The BET constant is: C = 1664, Amount for a monolayer: n = 4e-05 mol/g
#   Amount for a monolayer: n = 4e-05 / (1/1000/22.414) = 4e-05 / 4.461e-5 = 0.896659942 [cm3(STP)/g]
# relative_pressure_X, V[cm3(STP)/g], theta, alpha-s, t[nm]
1.50E-03, 0.7262, 0.8069, 0.421470259, 0.2856426
8.09E-03, 0.8322, 0.9247, 0.482990291, 0.3273438
1.84E-02, 0.9052, 1.0058, 0.525357861, 0.3560532
3.39E-02, 0.9224, 1.0249, 0.535340357, 0.3628146
4.40E-02, 0.9326, 1.0362, 0.541260209, 0.3668148
5.97E-02, 0.9608, 1.0676, 0.557626859, 0.3779304
7.48E-02, 0.9713, 1.0792, 0.563720824, 0.3820368
8.98E-02, 0.9919, 1.1021, 0.575676604, 0.3901434
1.12E-01, 1.0187, 1.1319, 0.591230726, 0.4006926
1.37E-01, 1.0426, 1.1584, 0.605101752, 0.4100736
0.1525, 1.0658, 1.1842, 0.618566514, 0.4192068
0.1674, 1.0824, 1.2027, 0.628200783, 0.4257558
0.1873, 1.1253, 1.2503, 0.653098985, 0.4426062
0.2072, 1.1702, 1.3002, 0.679157942, 0.4602708
0.2273, 1.2207, 1.3563, 0.708467014, 0.4801302
0.2569, 1.303, 1.4478, 0.756232095, 0.5125212
0.2867, 1.3975, 1.5528, 0.811077785, 0.5496912
0.307, 1.4626, 1.6251, 0.84886037, 0.5752854
0.3368, 1.5556, 1.7284, 0.902835493, 0.6118536
0.3574, 1.6165, 1.7961, 0.938180493, 0.6358194
0.3882, 1.693, 1.8811, 0.982579384, 0.6659094
0.4088, 1.7454, 1.9393, 1.012991174, 0.6865122
0.4337, 1.799, 1.9989, 1.044099416, 0.7076106
0.4589, 1.8548, 2.0609, 1.07648449, 0.7295586
0.4838, 1.8964, 2.1071, 1.100628201, 0.7459134
0.5087, 1.9584, 2.176, 1.136611616, 0.770304
0.5384, 2.0249, 2.2499, 1.175206731, 0.7964646
0.5588, 2.0812, 2.3124, 1.207881993, 0.8185896
0.5836, 2.1404, 2.3782, 1.242240351, 0.8418828
0.6089, 2.2179, 2.4643, 1.28721962, 0.8723622
0.6432, 2.3344, 2.5938, 1.354833617, 0.9182052
0.6688, 2.4559, 2.7288, 1.425349503, 0.9659952
0.6943, 2.5676, 2.8529, 1.490177688, 1.0099266
0.7188, 2.685, 2.9833, 1.558314026, 1.0560882
0.7435, 2.814, 3.1267, 1.633182745, 1.1068518
0.7688, 2.9692, 3.2991, 1.723257358, 1.1678814
0.7935, 3.1435, 3.4928, 1.824417185, 1.2364512
0.8177, 3.3297, 3.6997, 1.932483506, 1.3096938
0.8478, 3.618, 4.02, 2.099806386, 1.42308
0.8666, 3.8753, 4.3059, 2.249137559, 1.5242886
0.9099, 4.7647, 5.2941, 2.765325453, 1.8741114
0.9592, 7.6331, 8.4812, 4.430080742, 3.0023448
