# nongraphitized carbon black (BP 280), Ar, 87 K, data
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 15.60 [cm3(STP)/g], S(BET) = 35.9 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 35.9/15.60 = slope[cm3(STP)/g] * 2.301282
# [pyGAPS] BET surface area: a = 36 m2/g, C = 138, Amount for a monolayer: n = 0.00043 mol/g
#   Amount for a monolayer: n = 0.00043 / (1/1000/22.414) = 0.00043 / 4.461e-5 = 9.63909437 [cm3(STP)/g]
# L. Gardner et al., J. Phys. Chem. B 105 (2001).
# P/P0, alpha-s, V[cm3(STP)/g], t[nm]
0.00000638, 0.00656, 0.102336, 0.003567233
0.0000183, 0.0131, 0.20436, 0.00712359
0.0000353, 0.0196, 0.30576, 0.010658196
0.0000567, 0.0262, 0.40872, 0.014247181
0.0000816, 0.0327, 0.51012, 0.017781787
0.00011, 0.0391, 0.60996, 0.021262014
0.000141, 0.0456, 0.71136, 0.02479662
0.000177, 0.0521, 0.81276, 0.028331226
0.000214, 0.0585, 0.9126, 0.031811453
0.000253, 0.065, 1.014, 0.035346059
0.000295, 0.0714, 1.11384, 0.038826287
0.000339, 0.0778, 1.21368, 0.042306514
0.000385, 0.0843, 1.31508, 0.04584112
0.000434, 0.0907, 1.41492, 0.049321347
0.000485, 0.0971, 1.51476, 0.052801575
0.000538, 0.103, 1.6068, 0.056009909
0.000593, 0.11, 1.716, 0.059816408
0.00065, 0.116, 1.8096, 0.063079121
0.00071, 0.123, 1.9188, 0.06688562
0.000772, 0.129, 2.0124, 0.070148333
0.000836, 0.135, 2.106, 0.073411046
0.000903, 0.142, 2.2152, 0.077217545
0.000972, 0.148, 2.3088, 0.080480258
0.00104, 0.154, 2.4024, 0.083742971
0.00112, 0.16, 2.496, 0.087005684
0.0012, 0.167, 2.6052, 0.090812183
0.00128, 0.173, 2.6988, 0.094074896
0.00136, 0.179, 2.7924, 0.097337609
0.00145, 0.186, 2.9016, 0.101144108
0.00154, 0.192, 2.9952, 0.104406821
0.00163, 0.198, 3.0888, 0.107669534
0.00173, 0.204, 3.1824, 0.110932247
0.00183, 0.211, 3.2916, 0.114738746
0.00193, 0.217, 3.3852, 0.118001459
0.00204, 0.223, 3.4788, 0.121264172
0.00215, 0.229, 3.5724, 0.124526885
0.00227, 0.235, 3.666, 0.127789599
0.00239, 0.241, 3.7596, 0.131052312
0.00251, 0.247, 3.8532, 0.134315025
0.00265, 0.254, 3.9624, 0.138121524
0.00278, 0.26, 4.056, 0.141384237
0.00292, 0.266, 4.1496, 0.14464695
0.00307, 0.272, 4.2432, 0.147909663
0.00322, 0.278, 4.3368, 0.151172376
0.00338, 0.284, 4.4304, 0.154435089
0.00355, 0.29, 4.524, 0.157697802
0.00373, 0.296, 4.6176, 0.160960516
0.00391, 0.301, 4.6956, 0.163679443
0.0041, 0.307, 4.7892, 0.166942156
0.0043, 0.313, 4.8828, 0.17020487
0.00451, 0.319, 4.9764, 0.173467583
0.00473, 0.325, 5.07, 0.176730296
0.00496, 0.33, 5.148, 0.179449224
0.0052, 0.336, 5.2416, 0.182711937
0.00545, 0.342, 5.3352, 0.18597465
0.00573, 0.348, 5.4288, 0.189237363
0.00602, 0.354, 5.5224, 0.192500076
0.00632, 0.359, 5.6004, 0.195219004
0.00664, 0.365, 5.694, 0.198481717
0.00702, 0.371, 5.7876, 0.20174443
0.00736, 0.377, 5.8812, 0.205007143
0.00773, 0.383, 5.9748, 0.208269856
0.0081, 0.388, 6.0528, 0.210988784
0.00849, 0.393, 6.1308, 0.213707712
0.00891, 0.399, 6.2244, 0.216970425
0.00932, 0.404, 6.3024, 0.219689352
0.00978, 0.41, 6.396, 0.222952066
0.0102, 0.415, 6.474, 0.225670993
0.0111, 0.424, 6.6144, 0.230565063
0.0126, 0.437, 6.8172, 0.237634275
0.0151, 0.455, 7.098, 0.247422414
0.0175, 0.47, 7.332, 0.255579197
0.02, 0.483, 7.5348, 0.262648409
0.0252, 0.505, 7.878, 0.274611691
0.0299, 0.522, 8.1432, 0.283856044
0.0349, 0.536, 8.3616, 0.291469042
0.04, 0.549, 8.5644, 0.298538254
0.0451, 0.56, 8.736, 0.304519894
0.0501, 0.57, 8.892, 0.30995775
0.0581, 0.584, 9.1104, 0.317570747
0.0701, 0.603, 9.4068, 0.327902672
0.0801, 0.618, 9.6408, 0.336059455
0.09, 0.63, 9.828, 0.342584881
0.1, 0.643, 10.0308, 0.349654093
0.119, 0.665, 10.374, 0.361617375
0.14, 0.687, 10.7172, 0.373580656
0.16, 0.709, 11.0604, 0.385543938
0.18, 0.73, 11.388, 0.396963434
0.2, 0.751, 11.7156, 0.40838293
0.22, 0.773, 12.0588, 0.420346211
0.24, 0.79, 12.324, 0.429590565
0.261, 0.818, 12.7608, 0.44481656
0.281, 0.842, 13.1352, 0.457867413
0.301, 0.867, 13.5252, 0.471462051
0.321, 0.892, 13.9152, 0.485056689
0.341, 0.919, 14.3364, 0.499738898
0.361, 0.945, 14.742, 0.513877322
0.381, 0.972, 15.1632, 0.528559531
0.401, 1, 15.6, 0.543785526
0.421, 1.03, 16.068, 0.560099092
0.441, 1.06, 16.536, 0.576412657
0.461, 1.09, 17.004, 0.592726223
0.48, 1.11, 17.316, 0.603601934
0.5, 1.14, 17.784, 0.619915499
0.52, 1.17, 18.252, 0.636229065
0.541, 1.2, 18.72, 0.652542631
0.561, 1.23, 19.188, 0.668856197
0.581, 1.27, 19.812, 0.690607618
0.601, 1.3, 20.28, 0.706921184
0.621, 1.34, 20.904, 0.728672605
0.641, 1.37, 21.372, 0.74498617
0.66, 1.41, 21.996, 0.766737591
0.68, 1.45, 22.62, 0.788489012
0.7, 1.49, 23.244, 0.810240433
0.72, 1.54, 24.024, 0.83742971
0.74, 1.59, 24.804, 0.864618986
0.76, 1.65, 25.74, 0.897246118
0.782, 1.72, 26.832, 0.935311104
0.799, 1.78, 27.768, 0.967938236
0.82, 1.87, 29.172, 1.016878933
0.84, 1.96, 30.576, 1.065819631
