# Graphitized carbon black (GCB-I), N2, 87.3 K, data
# K. Nakai et al., DOI:10.1016/j.jcis.2011.10.061
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 21.1 [cm3(STP)/g], V(theta=1)=12.2 [cm3(STP)/g], S(BET) = 54.2 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 54.2/21.1 = slope[cm3(STP)/g] * 2.56872
# [pyGASP] BET surface area: a = 55 m2/g. The BET constant is: C = 220, Amount for a monolayer: n = 0.00056 mol/g
#   Amount for a monolayer: n = 0.00056 / (1/1000/22.414) = 0.00056 / 4.461e-5 = 12.5532392 [cm3(STP)/g]
# n/(molecules/nm2) = 0.602 * Gamma/(micro mol/m2)
# P/P0, alpha-s, Gamma(micro mol/m2), Gamma(N2/nm2), V[cm3(STP)/g], t[nm]
0.0000004, 0.00111, 0.0193, 0.0116, 0.023421, 0.000679593
0.0000006, 0.00144, 0.0251, 0.0151, 0.030384, 0.000881634
0.000001, 0.00205, 0.0356, 0.0214, 0.043255, 0.001255104
0.0000015, 0.00264, 0.0459, 0.0276, 0.055704, 0.001616329
0.000002, 0.00319, 0.0553, 0.0333, 0.067309, 0.001953064
0.0000025, 0.00365, 0.0633, 0.0381, 0.077015, 0.002234698
0.000003, 0.0041, 0.0712, 0.0428, 0.08651, 0.002510208
0.0000035, 0.00454, 0.0788, 0.0474, 0.095794, 0.002779596
0.000004, 0.00493, 0.0857, 0.0516, 0.104023, 0.003018372
0.000005, 0.00562, 0.0977, 0.0588, 0.118582, 0.003440822
0.000006, 0.00629, 0.109, 0.0657, 0.132719, 0.003851027
0.000007, 0.00686, 0.119, 0.0717, 0.144746, 0.004200007
0.000008, 0.00742, 0.129, 0.0776, 0.156562, 0.004542865
0.000009, 0.00795, 0.138, 0.0831, 0.167745, 0.004867355
0.00001, 0.00847, 0.147, 0.0886, 0.178717, 0.005185723
0.000015, 0.0111, 0.192, 0.116, 0.23421, 0.00679593
0.00002, 0.0137, 0.238, 0.143, 0.28907, 0.008387769
0.00003, 0.0189, 0.327, 0.197, 0.39879, 0.011571448
0.00004, 0.0233, 0.404, 0.243, 0.49163, 0.01426533
0.00005, 0.0271, 0.47, 0.283, 0.57181, 0.016591864
0.00006, 0.0308, 0.535, 0.322, 0.64988, 0.018857174
0.00007, 0.0341, 0.593, 0.357, 0.71951, 0.020877585
0.00008, 0.0379, 0.569, 0.397, 0.79969, 0.02320412
0.00009, 0.0422, 0.732, 0.441, 0.89042, 0.025836777
0.0001, 0.0464, 0.806, 0.485, 0.97904, 0.02840821
0.00012, 0.0554, 0.963, 0.58, 1.16894, 0.033918423
0.00015, 0.0682, 1.19, 0.714, 1.43902, 0.04175517
0.0002, 0.0919, 1.6, 0.961, 1.93909, 0.056265398
0.00025, 0.113, 1.97, , 2.3843, 0.069183787
0.0003, 0.135, 2.34, 1.41, 2.8485, 0.082653197
0.00035, 0.156, 2.7, 1.63, 3.2916, 0.095510361
0.0004, 0.176, 3.05, 1.84, 3.7136, 0.107755279
0.0005, 0.212, 3.68, 2.21, 4.4732, 0.129796131
0.0006, 0.244, 4.23, 2.55, 5.1484, 0.149388
0.0007, 0.271, 4.7, 2.83, 5.7181, 0.165918639
0.0008, 0.294, 5.11, 3.08, 6.2034, 0.180000295
0.001, 0.333, 5.78, 3.48, 7.0263, 0.203877885
0.0015, 0.385, 6.68, 4.02, 8.1235, 0.235714672
0.002, 0.416, 7.23, 4.35, 8.7776, 0.254694295
0.003, 0.449, 7.8, 4.69, 9.4739, 0.27489841
0.004, 0.468, 8.14, 4.9, 9.8748, 0.286531082
0.005, 0.481, 8.36, 5.03, 10.1491, 0.294490279
0.007, 0.5, 8.69, 5.23, 10.55, 0.306122951
0.008, 0.506, 8.8, 5.3, 10.6766, 0.309796426
0.01, 0.516, 8.97, 5.4, 10.8876, 0.315918885
0.015, 0.535, 9.29, 5.59, 11.2885, 0.327551557
0.02, 0.547, 9.5, 5.72, 11.5417, 0.334898508
0.03, 0.564, 9.8, 5.9, 11.9004, 0.345306689
0.04, 0.577, 10, 6.03, 12.1747, 0.353265885
0.05, 0.587, 10.2, 6.12, 12.3857, 0.359388344
0.07, 0.605, 10.5, 6.33, 12.7655, 0.37040877
0.08, 0.614, 10.7, 6.42, 12.9554, 0.375918984
0.1, 0.631, 11, 6.6, 13.3141, 0.386327164
0.15, 0.674, 11.7, 7.05, 14.2214, 0.412653738
0.2, 0.724, 12.6, 7.57, 15.2764, 0.443266033
0.25, 0.781, 13.6, 8.17, 16.4791, 0.478164049
0.3, 0.848, 14.7, 8.87, 17.8928, 0.519184525
0.35, 0.924, 16.1, 9.66, 19.4964, 0.565715213
0.4, 1, 17.4, 10.5, 21.1, 0.612245902
