# Non-Graphitized carbon black (NGCB), N2, 77.4 K, data, t
# K. Nakai et al., DOI:10.1016/j.jcis.2010.08.005
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 6.96 [cm3(STP)/g], V(theta=1)=4.34 [cm3(STP)/g], S(BET) = 18.9 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 18.9/6.96 = slope[cm3(STP)/g] * 2.715517
# [pyGASP] BET surface area: a = 19 m2/g, The BET constant is: C = 138, Amount for a monolayer: n = 0.00019 mol/g
#   Amount for a monolayer: n = 0.00019 / (1/1000/22.414) = 0.00019 / 4.461e-5 = 4.25913472 [cm3(STP)/g]
# n/(molecules/nm2) = 0.602 * Gamma/(micro mol/m2)
# P/P0, alpha-s, Gamma(micro mol/m2), V[cm3(STP)/g], t[nm]
0.00000005, 0.0022, 0.035, 0.015312, 0.001272664
0.00000007, 0.0034, 0.057, 0.023664, 0.001966845
0.0000001, 0.005, 0.083, 0.0348, 0.002892418
0.00000015, 0.0066, 0.109, 0.045936, 0.003817992
0.0000002, 0.0076, 0.125, 0.052896, 0.004396476
0.00000025, 0.0085, 0.14, 0.05916, 0.004917111
0.0000003, 0.0093, 0.154, 0.064728, 0.005379898
0.0000004, 0.0111, 0.182, 0.077256, 0.006421169
0.0000005, 0.0126, 0.208, 0.087696, 0.007288895
0.000001, 0.0184, 0.303, 0.128064, 0.0106441
0.0000013, 0.021, 0.345, 0.14616, 0.012148158
0.000002, 0.0256, 0.421, 0.178176, 0.014809183
0.000003, 0.0309, 0.508, 0.215064, 0.017875146
0.000004, 0.0359, 0.591, 0.249864, 0.020767565
0.000005, 0.0402, 0.662, 0.279792, 0.023255045
0.000006, 0.0445, 0.733, 0.30972, 0.025742525
0.000008, 0.0503, 0.828, 0.350088, 0.02909773
0.00001, 0.056, 0.922, 0.38976, 0.032395087
0.000013, 0.0618, 1.017, 0.430128, 0.035750292
0.00002, 0.0733, 1.206, 0.510168, 0.042402855
0.00003, 0.0862, 1.419, 0.599952, 0.049865295
0.00004, 0.0977, 1.608, 0.679992, 0.056517857
0.00006, 0.115, 1.89, 0.8004, 0.066525625
0.00008, 0.129, 2.13, 0.89784, 0.074624397
0.0001, 0.144, 2.36, 1.00224, 0.083301652
0.00013, 0.161, 2.65, 1.12056, 0.093135875
0.0002, 0.19, 3.12, 1.3224, 0.109911902
0.0003, 0.223, 3.66, 1.55208, 0.129001864
0.0004, 0.25, 4.11, 1.74, 0.144620924
0.0005, 0.27, 4.45, 1.8792, 0.156190598
0.0006, 0.283, 4.66, 1.96968, 0.163710886
0.0008, 0.309, 5.08, 2.15064, 0.178751462
0.001, 0.33, 5.44, 2.2968, 0.19089962
0.0013, 0.352, 5.79, 2.44992, 0.203626261
0.002, 0.382, 6.29, 2.65872, 0.220980772
0.003, 0.409, 6.74, 2.84664, 0.236599832
0.005, 0.441, 7.26, 3.06936, 0.25511131
0.006, 0.453, 7.45, 3.15288, 0.262053115
0.008, 0.471, 7.76, 3.27816, 0.272465821
0.01, 0.484, 7.97, 3.36864, 0.279986109
0.013, 0.499, 8.2, 3.47304, 0.288663365
0.02, 0.522, 8.58, 3.63312, 0.30196849
0.03, 0.546, 8.99, 3.80016, 0.315852099
0.04, 0.568, 9.34, 3.95328, 0.32857874
0.05, 0.582, 9.58, 4.05072, 0.336677512
0.06, 0.596, 9.81, 4.14816, 0.344776284
0.08, 0.621, 10.21, 4.32216, 0.359238376
0.1, 0.644, 10.59, 4.48224, 0.372543501
0.12, 0.668, 10.99, 4.64928, 0.38642711
0.14, 0.687, 11.3, 4.78152, 0.3974183
0.16, 0.711, 11.7, 4.94856, 0.411301909
0.18, 0.733, 12.06, 5.10168, 0.42402855
0.2, 0.754, 12.41, 5.24784, 0.436176708
0.22, 0.78, 12.84, 5.4288, 0.451217284
0.24, 0.802, 13.19, 5.58192, 0.463943925
0.26, 0.825, 13.57, 5.742, 0.47724905
0.28, 0.848, 13.95, 5.90208, 0.490554175
0.3, 0.874, 14.38, 6.08304, 0.505594751
0.32, 0.899, 14.8, 6.25704, 0.520056844
0.34, 0.922, 15.18, 6.41712, 0.533361969
0.36, 0.948, 15.61, 6.59808, 0.548402545
0.38, 0.974, 16.03, 6.77904, 0.563443121
0.4, 1, 16.46, 6.96, 0.578483697
0.42, 1.02, 16.8, 7.0992, 0.590053371
0.44, 1.05, 17.3, 7.308, 0.607407882
0.46, 1.07, 17.7, 7.4472, 0.618977556
0.48, 1.1, 18.1, 7.656, 0.636332067
0.5, 1.12, 18.5, 7.7952, 0.647901741
0.52, 1.15, 18.9, 8.004, 0.665256252
0.54, 1.18, 19.4, 8.2128, 0.682610763
0.56, 1.21, 19.9, 8.4216, 0.699965274
0.58, 1.24, 20.4, 8.6304, 0.717319785
0.6, 1.27, 20.9, 8.8392, 0.734674296
0.62, 1.3, 21.4, 9.048, 0.752028806
0.64, 1.34, 22, 9.3264, 0.775168154
0.66, 1.36, 22.5, 9.4656, 0.786737828
0.68, 1.4, 23.1, 9.744, 0.809877176
