# graphite (OGA), N2, 77 K, data, t
# K. Miura et al., Adsorption (2007) 13: 139-147.: DOI 10.1007/s10450-007-9015-7
# Vm=V(theta=1) = 1.30 [cm3/g], C-value = 849, S = 5.66 [m2/g]
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 2.490465 [cm3/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 5.66/2.490465 = slope[cm3(STP)/g] * 2.272668
# [pyGASP] BET surface area: a = 6 m2/g, The BET constant is: C = 51, Amount for a monolayer: n = 7e-05 mol/g
#   Amount for a monolayer: n = 7e-05 / (1/1000/22.414) = 7e-05 / 4.461e-5 = 1.5691549 [cm3(STP)/g]
# relative_pressure_X, V[cm3(STP)/g], theta, alpha-s, t[nm]
3.18E-04, 0.5751, 0.4424, 0.230920732, 0.1566096
8.44E-03, 1.1729, 0.9022, 0.470956227, 0.3193788
1.89E-02, 1.2575, 0.9673, 0.504925787, 0.3424242
3.45E-02, 1.297, 0.9977, 0.520786279, 0.3531858
4.48E-02, 1.3195, 1.015, 0.529820736, 0.35931
6.10E-02, 1.3534, 1.0411, 0.543432652, 0.3685494
7.62E-02, 1.3771, 1.0593, 0.552948947, 0.3749922
9.10E-02, 1.4089, 1.0838, 0.565717647, 0.3836652
1.15E-01, 1.4527, 1.1175, 0.583304724, 0.395595
1.40E-01, 1.5008, 1.1545, 0.602618387, 0.408693
0.1552, 1.5302, 1.1771, 0.614423411, 0.4166934
0.1703, 1.564, 1.2031, 0.627995174, 0.4258974
0.1898, 1.6327, 1.2559, 0.655580384, 0.4445886
0.2098, 1.6927, 1.3021, 0.67967227, 0.4609434
0.2296, 1.7706, 1.362, 0.710951569, 0.482148
0.2589, 1.8838, 1.4491, 0.756404928, 0.5129814
0.2887, 2.0254, 1.558, 0.81326178, 0.551532
0.3091, 2.1184, 1.6295, 0.850604204, 0.576843
0.3386, 2.2538, 1.7337, 0.904971562, 0.6137298
0.3593, 2.3391, 1.7993, 0.939222193, 0.6369522
0.3917, 2.4621, 1.8939, 0.988610561, 0.6704406
0.4123, 2.5325, 1.9481, 1.016878374, 0.6896274
0.4373, 2.6132, 2.0102, 1.049281961, 0.7116108
0.4621, 2.7014, 2.078, 1.084697034, 0.735612
0.4873, 2.7813, 2.1395, 1.116779397, 0.757383
0.5121, 2.8635, 2.2027, 1.149785281, 0.7797558
0.5415, 2.9631, 2.2793, 1.189777813, 0.8068722
0.562, 3.0482, 2.3448, 1.223948138, 0.8300592
0.5867, 3.1431, 2.4176, 1.262053472, 0.8558304
0.6115, 3.2592, 2.5071, 1.308671272, 0.8875134
0.6413, 3.4144, 2.6265, 1.370988952, 0.929781
0.6668, 3.5601, 2.7385, 1.429492083, 0.969429
0.6913, 3.7152, 2.8578, 1.491769609, 1.0116612
0.7161, 3.8901, 2.9924, 1.561997458, 1.0593096
0.7408, 4.0774, 3.1365, 1.637204297, 1.110321
0.7654, 4.2899, 3.2999, 1.722529728, 1.1681646
0.7899, 4.5215, 3.4781, 1.81552441, 1.2312474
0.8143, 4.7913, 3.6856, 1.923857593, 1.3047024
0.8423, 5.1818, 3.986, 2.080655621, 1.411044
0.8627, 5.5536, 4.272, 2.22994501, 1.512288
0.9009, 6.5602, 5.0463, 2.634126559, 1.7863902
0.9468, 9.2519, 7.1168, 3.714928738, 2.5193472
0.9537, 10.121, 7.7854, 4.063899714, 2.7560316
