# Non-Graphitized carbon black (NGCB), N2, 87.3 K, data
# K. Nakai et al., DOI:10.1016/j.jcis.2011.10.061
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 6.72 [cm3(STP)/g], V(theta=1)=4.21 [cm3(STP)/g], S(BET) = 18.9 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 18.9/6.72 = slope[cm3(STP)/g] * 2.8125
# [pyGASP] BET surface area: a = 18 m2/g, The BET constant is: C = 148, Amount for a monolayer: n = 0.00019 mol/g
#   Amount for a monolayer: n = 0.00019 / (1/1000/22.414) = 0.00019 / 4.461e-5 = 4.25913472 [cm3(STP)/g]
# n/(molecules/nm2) = 0.602 * Gamma/(micro mol/m2)
# P/P0, alpha-s, Gamma(micro mol/m2), Gamma(N2/nm2), V[cm3(STP)/g], t[nm]
0.0000002, 0.00104, 0.0166, 0.01, 0.0069888, 0.000587657
0.0000004, 0.00218, 0.0347, 0.0209, 0.0146496, 0.001231819
0.0000006, 0.00335, 0.0532, 0.0321, 0.022512, 0.001892933
0.000001, 0.00552, 0.0878, 0.0528, 0.0370944, 0.003119102
0.0000015, 0.00791, 0.126, 0.0758, 0.0531552, 0.004469582
0.000002, 0.01, 0.159, 0.0957, 0.0672, 0.005650546
0.0000025, 0.0117, 0.186, 0.112, 0.078624, 0.006611139
0.000003, 0.0133, 0.212, 0.128, 0.089376, 0.007515227
0.0000035, 0.0147, 0.234, 0.141, 0.098784, 0.008306303
0.000004, 0.016, 0.254, 0.153, 0.10752, 0.009040874
0.000005, 0.0181, 0.289, 0.174, 0.121632, 0.010227489
0.000006, 0.0202, 0.322, 0.194, 0.135744, 0.011414104
0.000007, 0.022, 0.35, 0.211, 0.14784, 0.012431202
0.000008, 0.0238, 0.378, 0.228, 0.159936, 0.0134483
0.000009, 0.0254, 0.405, 0.244, 0.170688, 0.014352388
0.00001, 0.0269, 0.428, 0.258, 0.180768, 0.01519997
0.000015, 0.0333, 0.53, 0.319, 0.223776, 0.018816319
0.00002, 0.0393, 0.625, 0.376, 0.264096, 0.022206647
0.00003, 0.0483, 0.769, 0.463, 0.324576, 0.027292139
0.00004, 0.0562, 0.894, 0.538, 0.377664, 0.03175607
0.00005, 0.0622, 0.989, 0.595, 0.417984, 0.035146398
0.00006, 0.0681, 1.08, 0.652, 0.457632, 0.03848022
0.00007, 0.0736, 1.17, 0.705, 0.494592, 0.041588021
0.00008, 0.0788, 1.25, 0.755, 0.529536, 0.044526305
0.00009, 0.0838, 1.33, 0.802, 0.563136, 0.047351578
0.0001, 0.0882, 1.4, 0.844, 0.592704, 0.049837819
0.00012, 0.0965, 1.54, 0.924, 0.64848, 0.054527772
0.00015, 0.108, 1.72, 1.04, 0.72576, 0.0610259
0.0002, 0.125, 1.99, 1.2, 0.84, 0.070631829
0.00025, 0.141, 2.24, 1.35, 0.94752, 0.079672703
0.0003, 0.154, 2.45, 2.45, 1.03488, 0.087018413
0.00035, 0.166, 2.64, 1.59, 1.11552, 0.093799069
0.0004, 0.177, 2.81, 1.69, 1.18944, 0.10001467
0.0005, 0.195, 3.1, 1.87, 1.3104, 0.110185653
0.0006, 0.211, 3.36, 2.02, 1.41792, 0.119226527
0.0007, 0.224, 3.57, 2.15, 1.50528, 0.126572238
0.0008, 0.236, 3.76, 2.26, 1.58592, 0.133352893
0.001, 0.256, 4.07, 2.45, 1.72032, 0.144653986
0.0015, 0.295, 4.69, 2.83, 1.9824, 0.166691116
0.002, 0.323, 5.13, 3.09, 2.17056, 0.182512646
0.003, 0.358, 5.7, 3.43, 2.40576, 0.202289558
0.004, 0.384, 6.1, 3.67, 2.58048, 0.216980979
0.005, 0.404, 6.43, 3.87, 2.71488, 0.228282071
0.007, 0.431, 6.86, 4.13, 2.89632, 0.243538546
0.008, 0.44, 7, 4.22, 2.9568, 0.248624038
0.01, 0.457, 7.26, 4.37, 3.07104, 0.258229967
0.015, 0.489, 7.78, 4.68, 3.28608, 0.276311715
0.02, 0.509, 8.1, 4.88, 3.42048, 0.287612808
0.025, 0.525, 8.34, 5.02, 3.528, 0.296653682
0.03, 0.54, 8.58, 5.17, 3.6288, 0.305129501
0.04, 0.563, 8.95, 5.39, 3.78336, 0.318125758
0.05, 0.581, 9.24, 5.57, 3.90432, 0.328296741
0.07, 0.611, 9.72, 5.85, 4.10592, 0.34524838
0.08, 0.624, 9.92, 5.97, 4.19328, 0.35259409
0.1, 0.649, 10.3, 6.22, 4.36128, 0.366720456
0.15, 0.707, 11.2, 6.76, 4.75104, 0.399493625
0.2, 0.76, 12.1, 7.28, 5.1072, 0.42944152
0.25, 0.817, 13, 7.82, 5.49024, 0.461649634
0.3, 0.875, 13.9, 8.37, 5.88, 0.494422803
0.35, 0.936, 14.9, 8.96, 6.28992, 0.528891135
0.4, 1, 15.9, 9.57, 6.72, 0.565054632
